# Max time: 1.6 seconds
# Timestep: 2.5e-06 seconds
# Iterations: 640001 per particle per run
# Seed: 2345
# Setup complete, beginning evolution.
# Y: [0, 2e-05]
# Z: [-4e-05, 1e-05]
# Test step: 1 microns.
1.3e-05 2e-06 0.015625
1.3e-05 3e-06 0.015625
1.3e-05 4e-06 0
1.3e-05 5e-06 0
1.3e-05 6e-06 0.046875
1.3e-05 7e-06 0
1.3e-05 8e-06 0.015625
1.3e-05 9e-06 0.03125
1.3e-05 1e-05 0.015625
1.4e-05 -4e-05 0.453125
1.4e-05 -3.9e-05 0.453125
1.4e-05 -3.8e-05 0.40625
1.4e-05 -3.7e-05 0.40625
1.4e-05 -3.6e-05 0.515625
1.4e-05 -3.5e-05 0.453125
1.4e-05 -3.4e-05 0.4375
1.4e-05 -3.3e-05 0.421875
1.4e-05 -3.2e-05 0.453125
1.4e-05 -3.1e-05 0.421875
1.4e-05 -3e-05 0.453125
1.4e-05 -2.9e-05 0.421875
1.4e-05 -2.8e-05 0.453125
1.4e-05 -2.7e-05 0.453125
1.4e-05 -2.6e-05 0.4375
1.4e-05 -2.5e-05 0.421875
1.4e-05 -2.4e-05 0.53125
1.4e-05 -2.3e-05 0.390625
1.4e-05 -2.2e-05 0.53125
1.4e-05 -2.1e-05 0.4375
1.4e-05 -2e-05 0.4375
1.4e-05 -1.9e-05 0.484375
1.4e-05 -1.8e-05 0.421875
1.4e-05 -1.7e-05 0.515625
1.4e-05 -1.6e-05 0.453125
1.4e-05 -1.5e-05 0.40625
1.4e-05 -1.4e-05 0.296875
1.4e-05 -1.3e-05 0.390625
1.4e-05 -1.2e-05 0.359375
1.4e-05 -1.1e-05 0.34375
1.4e-05 -1e-05 0.265625
1.4e-05 -9e-06 0.296875
1.4e-05 -8e-06 0.125
1.4e-05 -7e-06 0.1875
1.4e-05 -6e-06 0.125
1.4e-05 -5e-06 0.0625
1.4e-05 -4e-06 0.078125
1.4e-05 -3e-06 0.015625
1.4e-05 -2e-06 0.015625
1.4e-05 -1e-06 0.015625
1.4e-05 -1.0099e-13 0
1.4e-05 1e-06 0
1.4e-05 2e-06 0
1.4e-05 3e-06 0.015625
1.4e-05 4e-06 0.015625
1.4e-05 5e-06 0
1.4e-05 6e-06 0.015625
1.4e-05 7e-06 0
1.4e-05 8e-06 0
1.4e-05 9e-06 0.015625
1.4e-05 1e-05 0
1.5e-05 -4e-05 0.296875
1.5e-05 -3.9e-05 0.265625
1.5e-05 -3.8e-05 0.234375
1.5e-05 -3.7e-05 0.234375
1.5e-05 -3.6e-05 0.40625
1.5e-05 -3.5e-05 0.375
1.5e-05 -3.4e-05 0.515625
1.5e-05 -3.3e-05 0.375
1.5e-05 -3.2e-05 0.328125
1.5e-05 -3.1e-05 0.296875
1.5e-05 -3e-05 0.234375
1.5e-05 -2.9e-05 0.390625
1.5e-05 -2.8e-05 0.359375
1.5e-05 -2.7e-05 0.359375
1.5e-05 -2.6e-05 0.375
1.5e-05 -2.5e-05 0.3125
1.5e-05 -2.4e-05 0.4375
1.5e-05 -2.3e-05 0.328125
1.5e-05 -2.2e-05 0.328125
1.5e-05 -2.1e-05 0.375
1.5e-05 -2e-05 0.21875
1.5e-05 -1.9e-05 0.359375
1.5e-05 -1.8e-05 0.4375
1.5e-05 -1.7e-05 0.296875
1.5e-05 -1.6e-05 0.328125
1.5e-05 -1.5e-05 0.328125
1.5e-05 -1.4e-05 0.34375
1.5e-05 -1.3e-05 0.234375
1.5e-05 -1.2e-05 0.25
1.5e-05 -1.1e-05 0.21875
1.5e-05 -1e-05 0.203125
1.5e-05 -9e-06 0.171875
1.5e-05 -8e-06 0.125
1.5e-05 -7e-06 0.09375
1.5e-05 -6e-06 0.0625
1.5e-05 -5e-06 0.015625
1.5e-05 -4e-06 0.03125
1.5e-05 -3e-06 0.015625
1.5e-05 -2e-06 0.015625
1.5e-05 -1e-06 0.015625
1.5e-05 -1.0099e-13 0.015625
1.5e-05 1e-06 0.015625
1.5e-05 2e-06 0.015625
1.5e-05 3e-06 0
1.5e-05 4e-06 0.015625
1.5e-05 5e-06 0
1.5e-05 6e-06 0
1.5e-05 7e-06 0.03125
1.5e-05 8e-06 0
1.5e-05 9e-06 0.015625
1.5e-05 1e-05 0.015625
1.6e-05 -4e-05 0.296875
