# Max time: 1.3 seconds
# Timestep: 2.7 microsec
# Num particles 1024
# y steps: 4
# z steps: 113
# Iterations: 481482 per particle per run
# y: [0, 9.9e-07]
# z: [-2e-05, 8.1e-06]
# Test step: 0.25 microns.
# Elapsed time: 2298.9 ms
5e-07 4.5e-06 1
# Elapsed time: 2280.17 ms
5e-07 4.75e-06 1
# Elapsed time: 2280.13 ms
5e-07 5e-06 1
# Elapsed time: 2296.38 ms
5e-07 5.25e-06 1
# Elapsed time: 2298.1 ms
5e-07 5.5e-06 0.821289
# Elapsed time: 2278.46 ms
5e-07 5.75e-06 0.015625
# Elapsed time: 569.097 ms
5e-07 6e-06 0
# Elapsed time: 346.532 ms
5e-07 6.25e-06 0
# Elapsed time: 285.431 ms
5e-07 6.5e-06 0
# Elapsed time: 232.113 ms
5e-07 6.75e-06 0
# Elapsed time: 179.937 ms
5e-07 7e-06 0
# Elapsed time: 144.199 ms
5e-07 7.25e-06 0
# Elapsed time: 99.449 ms
5e-07 7.5e-06 0
# Elapsed time: 62.258 ms
5e-07 7.75e-06 0
# Elapsed time: -0.903 ms
5e-07 8e-06 0
# Elapsed time: 2302.33 ms
7.5e-07 -2e-05 0.0683594
# Elapsed time: 2280.14 ms
7.5e-07 -1.975e-05 1
# Elapsed time: 2280.36 ms
7.5e-07 -1.95e-05 1
# Elapsed time: 2298.96 ms
7.5e-07 -1.925e-05 1
# Elapsed time: 2298.92 ms
7.5e-07 -1.9e-05 1
# Elapsed time: 2280.04 ms
7.5e-07 -1.875e-05 1
# Elapsed time: 2283.03 ms
7.5e-07 -1.85e-05 1
# Elapsed time: 2298.71 ms
7.5e-07 -1.825e-05 1
# Elapsed time: 2280.13 ms
7.5e-07 -1.8e-05 1
# Elapsed time: 2280.22 ms
7.5e-07 -1.775e-05 1
# Elapsed time: 2301.45 ms
7.5e-07 -1.75e-05 1
# Elapsed time: 2280.19 ms
7.5e-07 -1.725e-05 1
# Elapsed time: 2280.25 ms
7.5e-07 -1.7e-05 1
# Elapsed time: 2301.35 ms
7.5e-07 -1.675e-05 1
# Elapsed time: 2280.2 ms
7.5e-07 -1.65e-05 1
# Elapsed time: 2283.97 ms
7.5e-07 -1.625e-05 1
# Elapsed time: 2293.98 ms
7.5e-07 -1.6e-05 1
# Elapsed time: 2298.44 ms
7.5e-07 -1.575e-05 1
# Elapsed time: 2280.25 ms
7.5e-07 -1.55e-05 1
# Elapsed time: 2280.15 ms
7.5e-07 -1.525e-05 1
# Elapsed time: 2299.22 ms
7.5e-07 -1.5e-05 1
# Elapsed time: 2280.02 ms
7.5e-07 -1.475e-05 1
# Elapsed time: 2280.07 ms
7.5e-07 -1.45e-05 1
# Elapsed time: 2280.18 ms
7.5e-07 -1.425e-05 1
# Elapsed time: 2300.05 ms
7.5e-07 -1.4e-05 1
# Elapsed time: 2280.26 ms
7.5e-07 -1.375e-05 1
# Elapsed time: 2282.34 ms
7.5e-07 -1.35e-05 1
# Elapsed time: 2297.59 ms
7.5e-07 -1.325e-05 1
# Elapsed time: 2280.2 ms
7.5e-07 -1.3e-05 1
# Elapsed time: 2280.31 ms
7.5e-07 -1.275e-05 1
# Elapsed time: 2296.74 ms
7.5e-07 -1.25e-05 1
# Elapsed time: 2280.06 ms
7.5e-07 -1.225e-05 1
# Elapsed time: 2280.32 ms
7.5e-07 -1.2e-05 1
# Elapsed time: 2293.99 ms
7.5e-07 -1.175e-05 1
# Elapsed time: 2280.18 ms
7.5e-07 -1.15e-05 1
# Elapsed time: 2279.9 ms
7.5e-07 -1.125e-05 1
# Elapsed time: 2292.57 ms
7.5e-07 -1.1e-05 1
# Elapsed time: 2280.22 ms
7.5e-07 -1.075e-05 1
# Elapsed time: 2281.66 ms
7.5e-07 -1.05e-05 1
# Elapsed time: 2297.59 ms
7.5e-07 -1.025e-05 1
# Elapsed time: 2280.13 ms
7.5e-07 -1e-05 1
# Elapsed time: 2280.19 ms
7.5e-07 -9.75e-06 1
# Elapsed time: 2296.35 ms
7.5e-07 -9.5e-06 1
# Elapsed time: 2280.17 ms
7.5e-07 -9.25e-06 1
# Elapsed time: 2280.11 ms
7.5e-07 -9e-06 1
# Elapsed time: 2280.13 ms
7.5e-07 -8.75e-06 1
# Elapsed time: 2301.01 ms
7.5e-07 -8.5e-06 1
# Elapsed time: 2280.19 ms
7.5e-07 -8.25e-06 1
# Elapsed time: 2281.43 ms
7.5e-07 -8e-06 1
# Elapsed time: 2299.54 ms
7.5e-07 -7.75e-06 1
# Elapsed time: 2280.2 ms
7.5e-07 -7.5e-06 1
# Elapsed time: 2280.17 ms
7.5e-07 -7.25e-06 1
# Elapsed time: 2302.98 ms
7.5e-07 -7e-06 1
# Elapsed time: 2280.22 ms
7.5e-07 -6.75e-06 1
# Elapsed time: 2280.14 ms
7.5e-07 -6.5e-06 1
# Elapsed time: 2304.85 ms
7.5e-07 -6.25e-06 1
# Elapsed time: 2280.16 ms
7.5e-07 -6e-06 1
# Elapsed time: 2280.14 ms
7.5e-07 -5.75e-06 1
# Elapsed time: 2305.29 ms
7.5e-07 -5.5e-06 1
# Elapsed time: 2298.63 ms
7.5e-07 -5.25e-06 1
# Elapsed time: 2280.16 ms
7.5e-07 -5e-06 1
# Elapsed time: 2281.08 ms
7.5e-07 -4.75e-06 1
# Elapsed time: 2297.61 ms
7.5e-07 -4.5e-06 1
# Elapsed time: 2280.16 ms
7.5e-07 -4.25e-06 1
# Elapsed time: 2280.16 ms
